province_code,region,Province,PCs Planned (5373 IEC List of Aug 19),PS Planned (5373 IEC List of Aug 19),PCs Planned (4928 MOI List of Sept 28),MOI Percent of IEC Planned,PS Planned (4938 MOI List of Sept 28),Partial PC Reporting (09-28-19),Partial PC Reporting (09-29-19),Partial PC Reporting (10-01-19),Partial PC Reporting (10-03-19), % PCs Preliminary Reporting based on IEC 5373 List (09-28-19),% PCs Preliminary Reporting based on IEC 5373 List (09-29-19),PC Open Rate Against IEC 5373 List (10-01-19),PC Open Rate Against IEC 5373 List (10-03-19),PC Open Rate Against 4928 MOI List (10-01-19),PC Open Rate Against 4928 MOI List (10-03-19),% of PCs Potentially Remaining Based on 4928 MOI List as of 10-01-19,PS Reporting (09-29-19),% PS Partial Reporting Based on IEC 5373 List (09-29-19),PS Reporting (10-03-19),% PS Reporting Against IEC 5373 List (10-03-19),Partial BVV PS Reporting (10-14-19),Partial BVV PS Reporting Against PS Opened,Potential BVV PS Remaining,,Partial Votes Reported (09-28-19),Partial Votes Reported (09-29-19),Total Votes Reported (10-01-19),Total Votes Reported (10-03-19),Partial BVV Votes Reported (10-14-19),Straight Line Projection of BVV Votes 10-14-19,Net PC Partial Reporting Change 28-29,Net Partial Vote Change 28-29,Net PC Partial Reporting Change 29-01,Net Partial Vote Change 29-01,Net Change Provisional and Projected BVV Votes as of 10-14-19,Pct Change Provisional and Projected BVV Votes as of 10-14-19,Net PC Partial Reporting Change 10-01 to 10-03,Net Partial Vote Change 10-01 to 10-03,Average Votes / Center (09-28-19),Average Votes / Center (09-29-19),Average Votes / Center (10-01-19),Average Votes / Center (10-03-19),Projection of Total Votes if All Centers Opened Assuming Uniform Distribution as of 10-01-19,,Total VR 2019,Turnout as of 10-03-19,Projected BVV Turnout as of 10-14-19,Total Preliminary Votes 2018,Pct Change 18-19 Votes as of 10-03-19,Total VR 2018,Pct Change 18-19 VR,Turnout 2018,Pct Change Turnout 18-19 as of 10-03-19,Total Preliminary Votes First Round 2014,Pct Change Votes 14-19 as of 10-03-19
30,South,Hilmand,97,937,97,1,UNKNOWN (No detailed PC data for MOI Plan),68,61,97,97,0.701030928,0.628865979,1,1,1,1,0,775,0.827107791,937,1,827,0.882604055,0.117395945,,18641,70218,115333,115333,36760,41649.48005,-7,51577,36,45115,-73683.51995,-0.638876297,0,0,274.1323529,1151.114754,1189,1189,115333,,323267,0.356773194,0.128839257,83405,0.382806786,303494,0.065151206,0.274815977,0.29822581,105010,0.098304923
32,West,Hirat,300,1738,267,0.89,UNKNOWN (No detailed PC data for MOI Plan),128,166,253,253,0.426666667,0.553333333,0.843333333,0.843333333,0.947565543,0.947565543,0.052434457,NA,NA,1582,0.910241657,1457,0.920986094,0.079013906,,57358,104459,120056,129993,113576,123319.9945,38,47101,87,15597,-6673.005491,-0.051333576,0,9937,448.109375,629.2710843,474.5296443,513.8063241,126699.415,,574055,0.226446943,0.214822612,339645,-0.61726803,539956,0.063151442,0.629023476,-0.640002398,515416,-0.747790135
28,North,Jawzjan,62,322,55,0.887096774,UNKNOWN (No detailed PC data for MOI Plan),25,51,54,53,0.403225806,0.822580645,0.870967742,0.85483871,0.981818182,0.963636364,0.018181818,NA,NA,299,0.928571429,288,0.963210702,0.036789298,,18215,36910,38135,38009,36098,37476.74306,26,18695,3,1225,-532.2569444,-0.014003445,-1,-126,728.6,723.7254902,706.2037037,717.1509434,38841.2037,,103386,0.367641654,0.362493404,55371,-0.313557638,94794,0.090638648,0.584119248,-0.370605138,149695,-0.746090384
1,Kabul,Kabul,558,4777,558,1,UNKNOWN (No detailed PC data for MOI Plan),516,554,557,557,0.924731183,0.992831541,0.998207885,0.998207885,0.998207885,0.998207885,0.001792115,4733,0.990789198,4762,0.996859954,4276,0.897942041,0.102057959,,440808,458549,458549,459473,344427,383573.7544,38,17741,3,0,-75899.24556,-0.165187607,0,924,854.2790698,827.7057762,823.2477558,824.9066427,459372.2478,,1696341,0.270861224,0.226118307,700945,-0.344494932,1567465,0.08221938,0.447183829,-0.394295574,789077,-0.417708284
27,South,Kandahar,174,1584,169,0.971264368,UNKNOWN (No detailed PC data for MOI Plan),43,151,167,167,0.247126437,0.867816092,0.959770115,0.959770115,0.98816568,0.98816568,0.01183432,1457,0.919823232,1567,0.989267677,1166,0.744097001,0.255902999,,25153,182540,193624,193741,54380,73081.86964,108,157387,16,11084,-120659.1304,-0.622785731,0,117,584.9534884,1208.874172,1159.42515,1160.125749,195942.8503,,558567,0.346853645,0.130838144,175944,0.101151503,510339,0.09450189,0.344759072,0.006075469,268537,-0.27853145
2,Capital,Kapisa,80,481,77,0.9625,UNKNOWN (No detailed PC data for MOI Plan),25,77,78,77,0.3125,0.9625,0.975,0.9625,1.012987013,1,-0.012987013,464,0.964656965,462,0.96049896,352,0.761904762,0.238095238,,10140,34435,34435,34435,12596,16532.25,52,24295,1,0,-17902.75,-0.519899811,-1,0,405.6,447.2077922,441.474359,447.2077922,33993.52564,,160818,0.214124041,0.102800992,44585,-0.227655041,143971,0.117016621,0.309680422,-0.308564488,64569,-0.466694544
14,Southeast,Khost,186,835,186,1,UNKNOWN (No detailed PC data for MOI Plan),154,182,185,185,0.827956989,0.978494624,0.994623656,0.994623656,0.994623656,0.994623656,0.005376344,NA,NA,834,0.998802395,722,0.865707434,0.134292566,,50549,93205,94485,94485,73217,84574.76177,28,42656,3,1280,-9910.238227,-0.104886895,0,0,328.2402597,512.1153846,510.7297297,510.7297297,94995.72973,,258116,0.366056347,0.327661833,79048,0.195286408,228469,0.129763775,0.345990047,0.057996755,111852,-0.155267675
15,East,Kunar,110,586,110,1,UNKNOWN (No detailed PC data for MOI Plan),110,110,110,110,1,1,1,1,1,1,0,586,1,586,1,566,0.965870307,0.034129693,,39998,67383,67383,67383,63925,66183.83392,0,27385,0,0,-1199.166078,-0.01779627,0,0,363.6181818,612.5727273,612.5727273,612.5727273,67383,,190880,0.353012364,0.34673006,83486,-0.192882639,169359,0.127073259,0.49295284,-0.283882077,109679,-0.385634442
19,Northeast,Kunduz,98,581,91,0.928571429,UNKNOWN (No detailed PC data for MOI Plan),46,46,62,61,0.469387755,0.469387755,0.632653061,0.62244898,0.681318681,0.67032967,0.318681319,NA,NA,393,0.676419966,360,0.916030534,0.083969466,,11541,11541,12763,12881,12320,13449.33333,0,0,16,1222,568.3333333,0.044121833,-1,118,250.8913043,250.8913043,205.8548387,211.1639344,18732.79032,,192546,0.0668983,0.069849975,52251,-0.753478402,169674,0.134799675,0.307949362,-0.782762012,211026,-0.938960128
7,East,Laghman,79,513,79,1,UNKNOWN (No detailed PC data for MOI Plan),46,59,68,66,0.582278481,0.746835443,0.860759494,0.835443038,0.860759494,0.835443038,0.139240506,438,0.85380117,461,0.898635478,441,0.956616052,0.043383948,,13736,27333,27537,27537,25687,26851.94331,13,13597,9,204,-685.0566893,-0.024877681,-2,0,298.6086957,463.2711864,404.9558824,417.2272727,31991.51471,,173286,0.158910703,0.154957373,46136,-0.403134212,156944,0.104126313,0.293964726,-0.459422549,82108,-0.664624641
5,Capital,Logar,34,310,34,1,UNKNOWN (No detailed PC data for MOI Plan),10,30,33,33,0.294117647,0.882352941,0.970588235,0.970588235,0.970588235,0.970588235,0.029411765,206,0.664516129,279,0.9,236,0.845878136,0.154121864,,2784,19981,19981,22939,12367,14620.30932,20,17197,3,0,-8318.690678,-0.362643998,0,2958,278.4,666.0333333,605.4848485,695.1212121,20586.48485,,107559,0.213268997,0.135928275,24637,-0.068920729,92011,0.168979796,0.267761463,-0.203511238,32866,-0.302044666
4,Capital,Maydanwardak,106,516,75,0.70754717,UNKNOWN (No detailed PC data for MOI Plan),67,64,84,83,0.632075472,0.603773585,0.79245283,0.783018868,1.12,1.106666667,-0.12,265,0.513565891,392,0.759689922,254,0.647959184,0.352040816,,4763,20560,20560,20560,19872,30668.59843,-3,15797,20,0,10108.59843,0.491663348,-1,0,71.08955224,321.25,244.7619048,247.7108434,18357.14286,,162244,0.126722714,0.189027628,59102,-0.652126832,144419,0.123425588,0.409239781,-0.690346052,96262,-0.786416239
6,East,Nangarhar,395,2534,395,1,UNKNOWN (No detailed PC data for MOI Plan),309,390,394,394,0.782278481,0.987341772,0.997468354,0.997468354,0.997468354,0.997468354,0.002531646,2509,0.990134175,2529,0.998026835,1941,0.767497034,0.232502966,,22813,254871,255052,255052,169012,220211.9258,81,232058,4,181,-34840.07419,-0.136599886,0,0,73.82847896,653.5153846,647.3401015,647.3401015,255699.3401,,856243,0.297873384,0.257183914,265207,-0.038290845,794133,0.078211081,0.333957914,-0.108051129,332224,-0.232289058
34,South,Nimroz,50,284,50,1,UNKNOWN (No detailed PC data for MOI Plan),11,49,50,50,0.22,0.98,1,1,1,1,0,272,NA,284,1,247,0.86971831,0.13028169,,3705,12637,12637,12739,9553,10984.01619,38,8932,1,0,-1754.983806,-0.137764644,0,102,336.8181818,257.8979592,252.74,254.78,12637,,91940,0.138557755,0.119469395,32583,-0.609029248,91674,0.002901586,0.355422475,-0.610160402,45349,-0.719089726
16,East,Nuristan,54,286,34,0.62962963,UNKNOWN (No detailed PC data for MOI Plan),14,25,29,29,0.259259259,0.462962963,0.537037037,0.537037037,0.852941176,0.852941176,0.147058824,132,0.461538462,169,0.590909091,168,0.99408284,0.00591716,,7736,17805,23742,23742,10016,10075.61905,11,10069,4,5937,-13666.38095,-0.57562046,0,0,552.5714286,712.2,818.6896552,818.6896552,27835.44828,,86189,0.275464386,0.11690145,20655,0.149455338,67054,0.285367018,0.308035315,-0.105737644,60655,-0.608573077
12,Southeast,Paktika,166,773,166,1,UNKNOWN (No detailed PC data for MOI Plan),26,131,131,165,0.156626506,0.789156627,0.789156627,0.993975904,0.789156627,0.993975904,0.210843373,612,0.791720569,766,0.990944373,631,0.823759791,0.176240209,,3068,43590,45741,48852,27147,32954.99525,105,40522,0,2151,-15897.00475,-0.325411544,34,3111,118,332.7480916,349.1679389,296.0727273,57961.87786,,235727,0.207239731,0.13980153,37656,0.297323136,197487,0.193632999,0.190675842,0.086869362,256735,-0.809718192
13,Southeast,Paktya,194,1194,194,1,UNKNOWN (No detailed PC data for MOI Plan),47,155,159,159,0.242268041,0.798969072,0.819587629,0.819587629,0.819587629,0.819587629,0.180412371,NA,NA,983,0.823283082,653,0.664292981,0.335707019,,11821,161678,161678,161655,36827,55437.88821,108,149857,4,0,-106217.1118,-0.657060479,0,-23,251.5106383,1043.083871,1016.842767,1016.698113,197267.4969,,400809,0.403321782,0.138314978,77247,1.092702629,381052,0.051848567,0.202720364,0.989547446,184208,-0.12243225
8,Capital,Panjsher,96,295,96,1,UNKNOWN (No detailed PC data for MOI Plan),96,96,96,96,1,1,1,1,1,1,0,295,1,295,1,284,0.962711864,0.037288136,,10144,19205,19205,19205,18427,19140.72183,0,9061,0,0,-64.27816901,-0.00334695,0,0,105.6666667,200.0520833,200.0520833,200.0520833,19205,,77305,0.248431537,0.24760005,32847,-0.415319512,73737,0.04838819,0.445461573,-0.442305347,42536,-0.548500094
3,Capital,Parwan,154,704,154,1,UNKNOWN (No detailed PC data for MOI Plan),37,153,153,153,0.24025974,0.993506494,0.993506494,0.993506494,0.993506494,0.993506494,0.006493506,703,0.998579545,703,0.998579545,637,0.906116643,0.093883357,,14208,42183,42183,42257,31327,34572.81162,116,27975,0,0,-7684.188383,-0.181844153,0,74,384,275.7058824,275.7058824,276.1895425,42458.70588,,218935,0.193011624,0.157913589,86814,-0.513246711,212499,0.030287201,0.408538393,-0.527555726,147774,-0.714043066
20,North,Samangan,99,457,80,0.808080808,UNKNOWN (No detailed PC data for MOI Plan),19,36,76,76,0.191919192,0.363636364,0.767676768,0.767676768,0.95,0.95,0.05,NA,NA,375,0.820568928,361,0.962666667,0.037333333,,15339,20560,39255,39255,37298,38744.45983,17,5221,40,18695,-510.5401662,-0.013005736,0,0,807.3157895,571.1111111,516.5131579,516.5131579,41321.05263,,141504,0.277412653,0.273804697,76927,-0.489711025,135303,0.045830469,0.568553543,-0.51207295,140418,-0.720441824
22,North,Sar-e-Pul,82,436,71,0.865853659,UNKNOWN (No detailed PC data for MOI Plan),33,64,65,65,0.402439024,0.780487805,0.792682927,0.792682927,0.915492958,0.915492958,0.084507042,NA,NA,373,0.855504587,356,0.954423592,0.045576408,,16395,35509,35509,35509,33371,34964.55899,31,19114,1,0,-544.4410112,-0.015332479,0,0,496.8181818,554.828125,546.2923077,546.2923077,38786.75385,,140948,0.25192979,0.248067081,80368,-0.558169918,134767,0.045864344,0.596347771,-0.577545516,148858,-0.761457228
18,Northeast,Takhar,229,1026,215,0.938864629,UNKNOWN (No detailed PC data for MOI Plan),41,41,169,167,0.179039301,0.179039301,0.737991266,0.729257642,0.786046512,0.776744186,0.213953488,NA,NA,791,0.770955166,767,0.96965866,0.03034134,,14466,14466,59864,64055,59520,61382.42503,0,0,128,45398,-2672.574967,-0.041723128,-2,4191,352.8292683,352.8292683,354.2248521,383.5628743,76158.3432,,316568,0.202341993,0.193899652,175099,-0.634178379,288820,0.096073679,0.606256492,-0.666243586,318278,-0.798745122
25,South,Uruzgan,32,200,32,1,UNKNOWN (No detailed PC data for MOI Plan),4,24,24,30,0.125,0.75,0.75,0.9375,0.75,0.9375,0.25,153,0.765,196,0.98,132,0.673469388,0.326530612,,436,4414,5856,6005,6126,9096.181818,20,3978,0,1442,3091.181818,0.514767996,6,149,109,183.9166667,244,200.1666667,7808,,56952,0.105439668,0.159716635,12870,-0.533411033,56003,0.016945521,0.229809117,-0.541185878,22900,-0.737772926
26,South,Zabul,43,213,43,1,UNKNOWN (No detailed PC data for MOI Plan),6,22,35,36,0.139534884,0.511627907,0.813953488,0.837209302,0.813953488,0.837209302,0.186046512,108,0.507042254,197,0.924882629,166,0.842639594,0.157360406,,490,17579,18378,18378,10648,12636.48193,16,17089,13,799,-5741.518072,-0.312412562,1,0,81.66666667,799.0454545,525.0857143,510.5,22578.68571,,66489,0.276406624,0.190053722,13803,0.331449685,60915,0.091504556,0.226594435,0.219829709,20553,-0.105823967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
