"province_code","province_name_eng","pc_code","ps_code","ps_type","commission","audit_reason","commission_decision","bvv_total","audit_or_recount"
"01","KABUL","0101062","0101062-16","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",73,"YES"
"01","KABUL","0101063","0101063-06","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",77,"YES"
"01","KABUL","0101065","0101065-06","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",56,"YES"
"01","KABUL","0101065","0101065-08","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",76,"YES"
"01","KABUL","0101066","0101066-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",78,"YES"
"01","KABUL","0101066","0101066-03","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",47,"YES"
"01","KABUL","0101066","0101066-04","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",54,"YES"
"01","KABUL","0101067","0101067-06","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",67,"YES"
"01","KABUL","0101069","0101069-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",122,"YES"
"01","KABUL","0101069","0101069-03","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",120,"YES"
"01","KABUL","0101069","0101069-04","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",104,"YES"
"01","KABUL","0101070","0101070-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",94,"YES"
"01","KABUL","0101070","0101070-02","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",105,"YES"
"01","KABUL","0101070","0101070-06","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",62,"YES"
"01","KABUL","0101070","0101070-09","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101071","0101071-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",102,"YES"
"01","KABUL","0101071","0101071-07","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",68,"YES"
"01","KABUL","0101073","0101073-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",89,"YES"
"01","KABUL","0101073","0101073-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",86,"YES"
"01","KABUL","0101073","0101073-05","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",65,"YES"
"01","KABUL","0101074","0101074-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",105,"YES"
"01","KABUL","0101076","0101076-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",112,"YES"
"01","KABUL","0101078","0101078-01","M","As per the decision of the IEC","Referred by National Tally Center team for audit","Decision 104 Annex 7",112,"YES"
"01","KABUL","0101081","0101081-05","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",67,"YES"
"01","KABUL","0101081","0101081-09","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101082","0101082-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",150,"YES"
"01","KABUL","0101082","0101082-05","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",156,"YES"
"01","KABUL","0101082","0101082-15","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",101,"YES"
"01","KABUL","0101083","0101083-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",142,"YES"
"01","KABUL","0101083","0101083-12","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",36,"YES"
"01","KABUL","0101083","0101083-13","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",46,"YES"
"01","KABUL","0101083","0101083-14","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",63,"YES"
"01","KABUL","0101083","0101083-18","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",42,"YES"
"01","KABUL","0101084","0101084-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",126,"YES"
"01","KABUL","0101085","0101085-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",130,"YES"
"01","KABUL","0101085","0101085-03","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",110,"YES"
"01","KABUL","0101086","0101086-07","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",52,"YES"
"01","KABUL","0101088","0101088-12","M","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101090","0101090-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",73,"YES"
"01","KABUL","0101092","0101092-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",127,"YES"
"01","KABUL","0101092","0101092-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",107,"YES"
"01","KABUL","0101092","0101092-05","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",98,"YES"
"01","KABUL","0101092","0101092-06","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",100,"YES"
"01","KABUL","0101093","0101093-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",105,"YES"
"01","KABUL","0101094","0101094-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",14,"YES"
"01","KABUL","0101095","0101095-01","M","As per the decision of the IEC","Referred by National Tally Center team for audit","Decision 104 Annex 7",160,"YES"
"01","KABUL","0101095","0101095-02","M","As per the decision of the IEC","Referred by National Tally Center team for audit","Decision 104 Annex 7",142,"YES"
"01","KABUL","0101096","0101096-01","M","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101097","0101097-02","M","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101100","0101100-07","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",103,"YES"
"01","KABUL","0101100","0101100-08","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",125,"YES"
"01","KABUL","0101100","0101100-09","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",80,"YES"
"01","KABUL","0101100","0101100-10","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",83,"YES"
"01","KABUL","0101100","0101100-11","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",96,"YES"
"01","KABUL","0101100","0101100-12","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",48,"YES"
"01","KABUL","0101100","0101100-13","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",60,"YES"
"01","KABUL","0101101","0101101-11","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101103","0101103-04","M","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101104","0101104-05","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101105","0101105-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",59,"YES"
"01","KABUL","0101108","0101108-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",120,"YES"
"01","KABUL","0101109","0101109-03","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",143,"YES"
"01","KABUL","0101109","0101109-04","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",126,"YES"
"01","KABUL","0101110","0101110-07","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",100,"YES"
"01","KABUL","0101110","0101110-09","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",121,"YES"
"01","KABUL","0101110","0101110-10","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",55,"YES"
"01","KABUL","0101111","0101111-06","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",166,"YES"
"01","KABUL","0101111","0101111-07","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",101,"YES"
"01","KABUL","0101112","0101112-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",111,"YES"
"01","KABUL","0101113","0101113-09","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",43,"YES"
"01","KABUL","0101114","0101114-10","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",75,"YES"
"01","KABUL","0101115","0101115-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",110,"YES"
"01","KABUL","0101115","0101115-06","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",144,"YES"
"01","KABUL","0101115","0101115-12","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101118","0101118-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",126,"YES"
"01","KABUL","0101118","0101118-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",126,"YES"
"01","KABUL","0101118","0101118-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",123,"YES"
"01","KABUL","0101118","0101118-06","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",144,"YES"
"01","KABUL","0101118","0101118-07","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",124,"YES"
"01","KABUL","0101124","0101124-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",122,"YES"
"01","KABUL","0101128","0101128-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",104,"YES"
"01","KABUL","0101132","0101132-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",109,"YES"
"01","KABUL","0101132","0101132-05","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",72,"YES"
"01","KABUL","0101134","0101134-08","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",147,"YES"
"01","KABUL","0101134","0101134-11","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",46,"YES"
"01","KABUL","0101134","0101134-12","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",101,"YES"
"01","KABUL","0101134","0101134-14","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",69,"YES"
"01","KABUL","0101135","0101135-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",90,"YES"
"01","KABUL","0101136","0101136-05","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",3,"YES"
"01","KABUL","0101136","0101136-20","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",71,"YES"
"01","KABUL","0101138","0101138-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",110,"YES"
"01","KABUL","0101138","0101138-02","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",115,"YES"
"01","KABUL","0101139","0101139-04","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",23,"YES"
"01","KABUL","0101139","0101139-09","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",60,"YES"
"01","KABUL","0101139","0101139-10","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",54,"YES"
"01","KABUL","0101140","0101140-06","M","As per the decision of the IEC","Referred by National Tally Center team for recount","Decision 104 Annex 8",125,"YES"
"01","KABUL","0101140","0101140-07","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",107,"YES"
"01","KABUL","0101140","0101140-10","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",106,"YES"
"01","KABUL","0101141","0101141-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",108,"YES"
"01","KABUL","0101141","0101141-02","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",121,"YES"
"01","KABUL","0101141","0101141-03","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",136,"YES"
"01","KABUL","0101141","0101141-04","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",111,"YES"
"01","KABUL","0101141","0101141-05","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",112,"YES"
"01","KABUL","0101141","0101141-06","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",116,"YES"
"01","KABUL","0101141","0101141-07","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",117,"YES"
"01","KABUL","0101141","0101141-08","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",83,"YES"
"01","KABUL","0101141","0101141-09","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",82,"YES"
"01","KABUL","0101141","0101141-10","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",162,"YES"
"01","KABUL","0101141","0101141-11","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",85,"YES"
"01","KABUL","0101141","0101141-12","F","As per the decision of the IEC","Reported open by IEC staff but no results form or BVV data","Decision 105 Paragraph 2",NA,"YES"
"01","KABUL","0101141","0101141-13","F","As per the decision of the IEC","Reported open by IEC staff but no results form or BVV data","Decision 105 Paragraph 2",NA,"YES"
"01","KABUL","0101141","0101141-14","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",28,"YES"
"01","KABUL","0101141","0101141-15","F","As per the decision of the IEC","Reported open by IEC staff but no results form or BVV data","Decision 105 Paragraph 2",NA,"YES"
"01","KABUL","0101141","0101141-16","F","As per the decision of the IEC","Reported open by IEC staff but no results form or BVV data","Decision 105 Paragraph 2",NA,"YES"
"01","KABUL","0101142","0101142-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",138,"YES"
"01","KABUL","0101142","0101142-02","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",160,"YES"
"01","KABUL","0101142","0101142-03","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",149,"YES"
"01","KABUL","0101142","0101142-04","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",132,"YES"
"01","KABUL","0101142","0101142-05","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",97,"YES"
"01","KABUL","0101142","0101142-06","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",99,"YES"
"01","KABUL","0101142","0101142-07","F","As per the decision of the IEC","Physical results forms show zero votes but digital results and BVV data have vote information","Decision 104 Annex 5",107,"YES"
"01","KABUL","0101142","0101142-08","F","As per the decision of the IEC","Physical results forms show zero votes but digital results and BVV data have vote information","Decision 104 Annex 5",100,"YES"
"01","KABUL","0101143","0101143-05","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",65,"YES"
"01","KABUL","0101144","0101144-04","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",155,"YES"
"01","KABUL","0101148","0101148-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",152,"YES"
"01","KABUL","0101148","0101148-09","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101149","0101149-07","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101150","0101150-05","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",106,"YES"
"01","KABUL","0101150","0101150-07","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",60,"YES"
"01","KABUL","0101151","0101151-10","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",78,"YES"
"01","KABUL","0101154","0101154-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",127,"YES"
"01","KABUL","0101154","0101154-06","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",118,"YES"
