"election_type","election_date","results_status","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_valid_votes","fem_ps_valid_votes","male_ps_invalid_votes","fem_ps_invalid_votes","votes","total_invalid_votes"
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-07","KABUL NAHIA 07","كابل - ناحيه 07","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",15765,6920,93,0,22685,93
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-08","KABUL NAHIA 08","كابل - ناحيه 08","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",9192,4426,150,50,13618,200
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-08","KABUL NAHIA 08","كابل - ناحيه 08","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",29154,12734,276,410,41888,686
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-09","KABUL NAHIA 09","كابل - ناحيه 09","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",10256,3504,17,15,13760,32
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-09","KABUL NAHIA 09","كابل - ناحيه 09","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",22159,11659,391,584,33818,975
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-10","KABUL NAHIA 10","كابل - ناحيه 10","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",15004,7813,621,505,22817,1126
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-10","KABUL NAHIA 10","كابل - ناحيه 10","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",13645,7928,667,235,21573,902
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-11","KABUL NAHIA 11","كابل - ناحيه 11","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",22036,12739,1975,88,34775,2063
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-11","KABUL NAHIA 11","كابل - ناحيه 11","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",6843,3962,526,27,10805,553
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-12","KABUL NAHIA 12","كابل - ناحيه 12","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",2206,1276,57,62,3482,119
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-12","KABUL NAHIA 12","كابل - ناحيه 12","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",18148,10507,478,866,28655,1344
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-13","KABUL NAHIA 13","كابل - ناحيه 13","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",44274,38080,0,535,82354,535
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-13","KABUL NAHIA 13","كابل - ناحيه 13","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",8686,4426,0,59,13112,59
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-14","KABUL NAHIA 14","كابل - ناحيه 14","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1234,661,0,30,1895,30
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-14","KABUL NAHIA 14","كابل - ناحيه 14","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",397,125,0,16,522,16
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-15","KABUL NAHIA 15","كابل - ناحيه 15","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",18477,10955,119,0,29432,119
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-15","KABUL NAHIA 15","كابل - ناحيه 15","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",7868,3438,41,0,11306,41
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-16","KABUL NAHIA 16","كابل - ناحيه 16","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6133,2742,0,0,8875,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-16","KABUL NAHIA 16","كابل - ناحيه 16","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",11336,6054,0,0,17390,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-17","KABUL NAHIA 17","كابل - ناحيه 17","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",11421,4513,985,0,15934,985
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-17","KABUL NAHIA 17","كابل - ناحيه 17","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",3812,1358,185,0,5170,185
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-18","KABUL NAHIA 18","كابل - ناحيه 18","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1540,652,0,0,2192,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-18","KABUL NAHIA 18","كابل - ناحيه 18","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",1248,208,0,0,1456,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-21","KABUL NAHIA 21","كابل - ناحيه 21","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",542,111,0,4,653,4
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0101","KABUL","كابل","0101-21","KABUL NAHIA 21","كابل - ناحيه 21","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",18780,17431,0,1783,36211,1783
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0102","PAGHMAN","يغمان","0102","PAGHMAN","يغمان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5804,2471,0,9,8275,9
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0102","PAGHMAN","يغمان","0102","PAGHMAN","يغمان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",10356,2549,0,120,12905,120
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0103","CHAHARASYAB","جهار اسياب","0103","CHAHARASYAB","جهار اسياب","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1157,339,6,0,1496,6
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0103","CHAHARASYAB","جهار اسياب","0103","CHAHARASYAB","جهار اسياب","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",6910,2987,361,0,9897,361
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0104","BAGRAMI","بكرامى","0104","BAGRAMI","بكرامى","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",4665,1519,0,54,6184,54
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0104","BAGRAMI","بكرامى","0104","BAGRAMI","بكرامى","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",13335,4587,0,63,17922,63
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0105","DEHSABZ","ده سبز","0105","DEHSABZ","ده سبز","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3194,873,486,0,4067,486
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0105","DEHSABZ","ده سبز","0105","DEHSABZ","ده سبز","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",7363,1672,111,0,9035,111
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0106","SHAKARDARA","شكردره","0106","SHAKARDARA","شكردره","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6685,1790,0,92,8475,92
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0106","SHAKARDARA","شكردره","0106","SHAKARDARA","شكردره","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",4487,853,0,9,5340,9
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0107","MUSAYI","موسهى","0107","MUSAYI","موسهى","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",363,95,0,4,458,4
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0107","MUSAYI","موسهى","0107","MUSAYI","موسهى","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",3997,1062,0,15,5059,15
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0108","MIRBACHAKOT","مير بجه كوت","0108","MIRBACHAKOT","مير بجه كوت","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6760,1913,0,0,8673,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0108","MIRBACHAKOT","مير بجه كوت","0108","MIRBACHAKOT","مير بجه كوت","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",694,234,0,0,928,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0109","KHAK-E- JABBAR","خاكن جبار","0109","KHAK-E- JABBAR","خاكن جبار","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1558,663,0,5,2221,5
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0109","KHAK-E- JABBAR","خاكن جبار","0109","KHAK-E- JABBAR","خاكن جبار","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",4900,2580,0,496,7480,496
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0110","KALAKAN","كلكان","0110","KALAKAN","كلكان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3946,1540,0,0,5486,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0110","KALAKAN","كلكان","0110","KALAKAN","كلكان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",782,116,0,0,898,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0111","GULDARA","كلدره","0111","GULDARA","كلدره","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1497,802,0,0,2299,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0111","GULDARA","كلدره","0111","GULDARA","كلدره","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",824,133,0,0,957,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0112","FARZA","فرزه","0112","FARZA","فرزه","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1398,752,0,0,2150,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0112","FARZA","فرزه","0112","FARZA","فرزه","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2117,892,0,0,3009,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0113","ESTALEF","استالف","0113","ESTALEF","استالف","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3529,1052,0,0,4581,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0113","ESTALEF","استالف","0113","ESTALEF","استالف","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",544,139,0,0,683,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0114","QARABAGH","قره باغ","0114","QARABAGH","قره باغ","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5587,1668,0,26,7255,26
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0114","QARABAGH","قره باغ","0114","QARABAGH","قره باغ","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",5770,1505,0,6,7275,6
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0115","SUROBI","سروبى","0115","SUROBI","سروبى","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3100,1146,510,350,4246,860
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","01","KABUL","کابل","0115","SUROBI","سروبى","0115","SUROBI","سروبى","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",16133,8446,2155,1427,24579,3582
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0201","MAHMUD-E- RAQI","محمود راقى","0201","MAHMUD-E- RAQI","محمود راقى","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",7898,2749,0,0,10647,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0201","MAHMUD-E- RAQI","محمود راقى","0201","MAHMUD-E- RAQI","محمود راقى","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2091,834,0,0,2925,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5738,1928,0,0,7666,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","0202","HISA-E- DUWUM-E- KOHESTAN","حصه دوم كوهستان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",211,53,0,0,264,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0203","KOHBAND","كوه بند","0203","KOHBAND","كوه بند","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5423,2756,525,354,8179,879
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0203","KOHBAND","كوه بند","0203","KOHBAND","كوه بند","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",655,122,62,34,777,96
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",11675,7377,0,0,19052,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","0204","HISA-E- AWAL-E- KOHESTAN","حصه اول كوهستان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",504,228,0,0,732,0
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0205","NEJRAB","نجراب","0205","NEJRAB","نجراب","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",13496,10882,0,553,24378,553
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0205","NEJRAB","نجراب","0205","NEJRAB","نجراب","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",1534,1094,0,46,2628,46
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0206","TAGAB","تكاب","0206","TAGAB","تكاب","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",274,274,180,0,548,180
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","02","KAPISA","کاپیسا","0206","TAGAB","تكاب","0206","TAGAB","تكاب","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2189,408,495,0,2597,495
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","03","PARWAN","پروان","0301","CHARIKAR","جاريكار","0301","CHARIKAR","جاريكار","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",24046,11223,170,0,35269,170
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","03","PARWAN","پروان","0301","CHARIKAR","جاريكار","0301","CHARIKAR","جاريكار","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2600,795,6,0,3395,6
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","03","PARWAN","پروان","0302","BAGRAM","بكرام","0302","BAGRAM","بكرام","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",19847,9942,441,191,29789,632
"PRESIDENTIAL RUNOFF","2014-06-14","FINAL","03","PARWAN","پروان","0302","BAGRAM","بكرام","0302","BAGRAM","بكرام","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",5601,2391,148,6,7992,154
